Setting,AUROC/AUC,AUPRC/AUPR,Accuracy,F1,MCC
Diff_DTA_GIN seed=100,0.9915050877501025,0.9916481987315411,0.9643874643874644,0.9568221070811744,0.9265564813889081
Diff_DTA_GIN seed=1000,0.9908863638263895,0.99110207419655,0.9672364672364673,0.9602763385146805,0.9324350730229031
Diff_DTA_GIN seed=2000,0.988946580714208,0.9895211883278973,0.9643874643874644,0.9560632688927945,0.9268330876359243
Diff_DTA_GIN seed=3000,0.9889716641165208,0.989587009931096,0.9672364672364673,0.9605488850771869,0.9325384215755588
Diff_DTA_GIN seed=4000,0.9843897626274029,0.9842234425753474,0.9643874643874644,0.956369982547993,0.9266245039642834
Diff_DTA_GIN seed=5000,0.9875920769893228,0.9877762443116822,0.9672364672364673,0.9601386481802426,0.9324317236873804
Diff_DTA_GIN seed=6000,0.9882609677176613,0.9882299024773562,0.9558404558404558,0.9468267581475128,0.9090720283452458
Diff_DTA_GIN seed=7000,0.9899081111361946,0.9905755261370371,0.9629629629629629,0.9545454545454546,0.9237134658236539
Diff_DTA_GIN seed=8000,0.9885034406066839,0.9889642446945686,0.9615384615384616,0.9535283993115319,0.9207257297401577
Diff_DTA_GIN seed=9000,0.9902676399026764,0.9900395111299618,0.9629629629629629,0.9547038327526133,0.9236454801823847
