Setting,AUROC/AUC,AUPRC/AUPR,Accuracy,F1,MCC
Diff_DTA_GAT seed=100,0.988578690813622,0.9888662955289947,0.9658119658119658,0.9586206896551724,0.9295111098733942
Diff_DTA_GAT seed=1000,0.989673999381276,0.9898544201435089,0.9672364672364673,0.9602763385146805,0.9324350730229031
Diff_DTA_GAT seed=2000,0.9899833613431326,0.9900189084009261,0.9629629629629629,0.9553264604810997,0.9236962901647979
Diff_DTA_GAT seed=3000,0.9879348834875963,0.9896845830320405,0.9672364672364673,0.9601386481802426,0.9324317236873804
Diff_DTA_GAT seed=4000,0.9897325273200057,0.9865102062724392,0.9643874643874644,0.9572649572649573,0.9267771153720472
Diff_DTA_GAT seed=5000,0.9916806715662912,0.992013599904469,0.9686609686609686,0.9615384615384615,0.9355168215098101
Diff_DTA_GAT seed=6000,0.9909281694969105,0.9910602354259466,0.9700854700854701,0.963855421686747,0.9383431921877587
Diff_DTA_GAT seed=7000,0.9906020852668456,0.9911244393833221,0.9686609686609686,0.9620689655172414,0.9353866224401943
Diff_DTA_GAT seed=8000,0.9904097791824482,0.9906532806576366,0.9700854700854701,0.9634782608695652,0.9383523179238764
Diff_DTA_GAT seed=9000,0.9920318391986689,0.9917641777380409,0.9672364672364673,0.9605488850771869,0.9325384215755588
