train_loss,val_AUROC,val_AUPRC,val_Accuracy,val_F1,val_MCC
0.552682525583183,0.9086019713082419,0.9199361987148171,0.795,0.7535070140280561,0.6208211610836278
0.354577795722609,0.9539065017612871,0.9613904403423723,0.8583333333333333,0.8374760994263862,0.7370090075098299
0.2595065640151413,0.9700192241446366,0.9741855294800598,0.8816666666666667,0.8895800933125971,0.7740585237529329
0.20865584870561493,0.9775421986643108,0.9822590793757843,0.9333333333333333,0.9339933993399341,0.8674004363115735
0.18735068649551015,0.9797868675756464,0.9821184172760092,0.9116666666666666,0.9132569558101472,0.8247397324918639
0.16093100990549897,0.9841317465079842,0.9848062128019313,0.9416666666666667,0.9391304347826087,0.8850270808535571
0.1494674957562974,0.9882654932159882,0.9890662787478738,0.9483333333333334,0.9468267581475128,0.897222321266337
0.12471589056931211,0.9818870775966486,0.9838732646229517,0.9333333333333333,0.9324324324324323,0.8666637065690777
0.1062765298476185,0.9851318465179851,0.9873103475921853,0.8716666666666667,0.8835098335854765,0.7630702221403866
0.1126536397004062,0.9831760953873164,0.9850810129070268,0.9333333333333333,0.9298245614035088,0.8693379355658092
0.11055573044683624,0.9897545310086565,0.9911052470337671,0.94,0.9417475728155339,0.8829098237161548
0.12068875891800136,0.9853985398539854,0.9860380309569561,0.93,0.926829268292683,0.8618128030396075
0.09875683477803665,0.9875543109866541,0.987949084644006,0.94,0.939799331103679,0.8800822276596908
0.08156552624619337,0.9868764654243203,0.9886788241498866,0.9416666666666667,0.942528735632184,0.8844853948921712
0.07832210445011138,0.9893211543376559,0.98939277092172,0.9466666666666667,0.9461279461279462,0.8933226655998934
0.07729131177842252,0.9891989198919893,0.9897949240419163,0.935,0.9346733668341709,0.8700435032627719
0.08263524367023214,0.9908435287973242,0.9919446241177503,0.9416666666666667,0.9419568822553898,0.8837542818485175
0.07972575270289627,0.9896322965629896,0.9908331364877253,0.9416666666666667,0.9432739059967584,0.886015318813202
0.07029296570321154,0.9910879976886577,0.9910254380365959,0.9416666666666667,0.9411764705882353,0.8833304630964838
0.06599890787493672,0.9871320465379871,0.9879469805105664,0.935,0.935108153078203,0.8702542026307416
0.06214040450589641,0.9875209743196542,0.9884366382627032,0.9366666666666666,0.9362416107382551,0.873348520224849
0.05616199273042288,0.9875765354313211,0.987795317996127,0.9416666666666667,0.9413735343383585,0.8833775033127761
0.06415134998297757,0.9869209143136536,0.9884902796411403,0.9316666666666666,0.9337641357027463,0.8664427823055332
0.057540219640778406,0.9904879376826572,0.990781200118369,0.94,0.9393939393939394,0.87998799879988
0.04476898312552923,0.9887544309986555,0.9892495580494468,0.9466666666666667,0.9461279461279462,0.8933226655998934
0.05767382281686195,0.9884877376626552,0.9908625042401823,0.9233333333333333,0.9272151898734179,0.8537055745333652
0.06549563090921633,0.9886321965529887,0.9904010598299637,0.9433333333333334,0.9444444444444444,0.8883221258549917
0.05134063354007996,0.9876543209876544,0.9890067220274024,0.935,0.9314586994727593,0.8729204932529607
0.046053552285022524,0.9876543209876544,0.9880403847475977,0.9383333333333334,0.940032414910859,0.8793334536637811
0.04589292955085613,0.990710182129324,0.9914379175168274,0.945,0.9458128078817735,0.891157734926059
0.0410847836236054,0.9895322865619895,0.9910816480549265,0.95,0.9504950495049505,0.9007504473197465
0.03897733268710339,0.9884655132179887,0.9901813388674855,0.9416666666666667,0.9399656946826759,0.883873778213948
0.04289139778416831,0.9900434487893235,0.9919618671259831,0.95,0.9504950495049505,0.9007504473197465
0.041048163021943196,0.989321154337656,0.9897214672098276,0.9416666666666667,0.942528735632184,0.8844853948921712
0.03858335973518219,0.9893433787823227,0.9893171625169537,0.9433333333333334,0.9446254071661238,0.8887057120200159
0.03137324947785895,0.9881877076596549,0.9883005988594056,0.9383333333333334,0.9386401326699835,0.8770859480233569
0.03670681559848887,0.9890544610016557,0.9893614271218232,0.945,0.9456342668863262,0.8908729202960126
0.03205072424066966,0.9841317465079841,0.9856460904356669,0.9366666666666666,0.9383116883116883,0.8757685355520808
0.03122709341348792,0.9891878076696559,0.9900892320751583,0.9533333333333334,0.953020134228188,0.9066837055458479
0.029867032616811073,0.9872765054283206,0.9889634690524028,0.9483333333333334,0.948073701842546,0.8967115033627803
0.0265681157193601,0.9876876576546544,0.9895521422412403,0.945,0.9456342668863262,0.8908729202960126
0.029185640489292553,0.9910546610216577,0.9914851129699646,0.94,0.9409836065573771,0.881305194762819
0.027133795258209515,0.9886877576646553,0.9887724044921851,0.9433333333333334,0.9448051948051949,0.8891293583989031
0.021067053087869533,0.9889100021113224,0.9898726371477025,0.94,0.9393939393939394,0.87998799879988
0.02657191517386808,0.9891766954473225,0.9883627672801457,0.9466666666666667,0.9475409836065574,0.8946517316160779
0.03396690674653498,0.9875876476536543,0.9890255641043737,0.9416666666666667,0.9399656946826759,0.883873778213948
0.049303771094819496,0.9891544710026559,0.9907724631796739,0.9483333333333334,0.9471890971039183,0.8968765565990183
0.0415705212630204,0.9864319765309865,0.9873282756033949,0.95,0.9506578947368421,0.9010175761280413
0.0343215859029934,0.9848651531819849,0.9859781765535663,0.9483333333333334,0.9485903814262022,0.8970909494988384
0.031491739793859476,0.9867653432009867,0.9870466195404468,0.9366666666666666,0.9387096774193547,0.8767241003261678
0.03550243108147059,0.9873431787623207,0.9892766687516401,0.9416666666666667,0.9397590361445785,0.8841024288498297
0.030627162605618513,0.9894211643386561,0.9908328255972736,0.95,0.9501661129568106,0.9003367338295034
0.025345957213247297,0.9879210143236545,0.9893821966539673,0.9383333333333334,0.9398373983739837,0.8788939688107489
0.0198986820597969,0.9888211043326555,0.9901958765295525,0.9533333333333334,0.9528619528619529,0.9066573323999066
0.020264156520864107,0.991354691024658,0.9920837523596395,0.96,0.9601328903654485,0.9203405124000534
0.021667948835260794,0.9901101221233235,0.9912799509151246,0.955,0.9555189456342669,0.9108850413060317
0.02530884602044731,0.9927881677056595,0.9935059625158537,0.9533333333333334,0.9539473684210527,0.9076890623827378
0.021322951022045206,0.9915991599159916,0.992712671545538,0.96,0.959866220735786,0.9200844500448895
0.019542444951496995,0.9910657732439911,0.9920998301120175,0.9566666666666667,0.9573770491803278,0.9146715368959663
0.019377127731328735,0.9912213443566579,0.9923708671519645,0.9416666666666667,0.9421487603305785,0.8839585355767666
0.022245867163676453,0.9870764854263203,0.9881348281264944,0.9366666666666666,0.9392971246006391,0.8784577011498168
0.013340339821383763,0.9874765254303208,0.9886621122810103,0.9433333333333334,0.9425675675675675,0.8866674851396277
0.011680101271649477,0.9889211143336556,0.9898719970818097,0.9466666666666667,0.9471947194719472,0.8940804451181119
0.02270590475298576,0.9900434487893234,0.9918257977002087,0.9533333333333334,0.9537953795379539,0.9074204495213811
