Setting,AUROC/AUC,AUPRC/AUPR,Accuracy,F1,MCC
Diff_DTA_GIN seed=100,0.9756094854466971,0.9785109752260842,0.9501661129568106,0.946808510638298,0.900123735995187
Diff_DTA_GIN seed=1000,0.9734456317897844,0.9737913160919431,0.9335548172757475,0.9283154121863799,0.8663959075424171
Diff_DTA_GIN seed=2000,0.9757204523008977,0.9762903451823524,0.9401993355481728,0.9359430604982207,0.879952007482001
Diff_DTA_GIN seed=3000,0.9780563045818215,0.9743069587309101,0.9435215946843853,0.9397163120567376,0.8867801959597494
Diff_DTA_GIN seed=4000,0.9793823584895192,0.9796526877243474,0.9451827242524917,0.940754039497307,0.889754674256589
Diff_DTA_GIN seed=5000,0.9727298955801902,0.9722709554398958,0.915282392026578,0.9125214408233276,0.8335640193674444
Diff_DTA_GIN seed=6000,0.9741336262858283,0.9737971702904293,0.920265780730897,0.9151943462897526,0.8402864639340457
Diff_DTA_GIN seed=7000,0.9720585461122763,0.9698410326575991,0.9435215946843853,0.9379562043795621,0.8866557559840097
Diff_DTA_GIN seed=8000,0.9745331069609507,0.9704972081150947,0.9302325581395349,0.9257950530035336,0.8602951310032644
Diff_DTA_GIN seed=9000,0.9748160724391625,0.9751401912637806,0.9318936877076412,0.9269162210338681,0.8631993002996828
