train_loss,val_AUROC,val_AUPRC,val_Accuracy,val_F1,val_MCC
0.5301071062617944,0.9139802869175806,0.9250376851494195,0.82,0.8296529968454257,0.6461989323136575
0.3529325011049545,0.9530175239746196,0.9596145670475779,0.8616666666666667,0.8646003262642741,0.7249346150469302
0.27244613691298625,0.9635296863019636,0.9681618283497897,0.88,0.8651685393258427,0.7752243259234055
0.2232304468212585,0.9771421586603105,0.9798888735246285,0.9066666666666666,0.9010600706713782,0.8167126584250797
0.20099398938629257,0.9784645131179786,0.9820239312401998,0.9166666666666666,0.9143835616438357,0.833724790880951
0.1654835438756038,0.9829427387183162,0.9842029241489774,0.92,0.9142857142857143,0.8452619292929545
0.15252712649798358,0.9815537109266482,0.9843485412516406,0.9283333333333333,0.9264957264957265,0.8569953539525533
0.14526501881025972,0.9846095720683178,0.9864198166128778,0.935,0.934453781512605,0.86999616672549
0.1292043697650151,0.9838317165049839,0.9855648236411889,0.9283333333333333,0.9284525790349418,0.8569190171782326
0.10355379474312917,0.985287417630652,0.9880449637004579,0.9483333333333334,0.9466437177280551,0.8974554333634958
0.10870147728023331,0.9842762053983177,0.9863132328748521,0.9433333333333334,0.9421768707482993,0.8868101427183303
0.10816055612775152,0.9815870475936483,0.9819119901317611,0.9333333333333333,0.9317406143344711,0.866926281366542
0.10152135008917332,0.9855652231889855,0.9878315858407553,0.94,0.9415584415584416,0.8824489469754919
0.0860990908539197,0.9867320065339866,0.9886437576841943,0.93,0.9263157894736841,0.8626437690423748
0.07668670624204904,0.9897656432309898,0.9910087458891103,0.9583333333333334,0.9581239530988274,0.9167125034377865
0.07331407833321009,0.989321154337656,0.9907941738029327,0.9566666666666667,0.9562289562289562,0.9133246657999133
0.07572326413262301,0.9882877176606549,0.98995042386695,0.9516666666666667,0.9514237855946398,0.9033785033877824
0.05699539303341981,0.9901323465679901,0.9912439210258271,0.9616666666666667,0.9616026711185309,0.923466695173175
0.06354210616108884,0.9893767154493227,0.9906912267704399,0.9483333333333334,0.9495934959349593,0.8989310681832866
0.058687262862020334,0.987643208765321,0.9886493994807805,0.9283333333333333,0.9233511586452764,0.8617364440972359
0.06632285568443635,0.9867208943116533,0.9872569092124838,0.9533333333333334,0.9528619528619529,0.9066573323999066
0.05912562767616317,0.9870098120923203,0.9883743197428153,0.9083333333333333,0.9139280125195618,0.8262448424584139
0.05149700358421863,0.9874431887633208,0.9892315569478679,0.955,0.9544688026981449,0.9099930552792187
0.05346751604571595,0.9879876876576547,0.9893033064600758,0.9533333333333334,0.9537953795379539,0.9074204495213811
0.041352076431157445,0.9901545710126569,0.9913413864686991,0.9566666666666667,0.9566666666666667,0.9135246858019135
0.05457901960947588,0.9894989498949894,0.9910057247160029,0.9533333333333334,0.9537953795379539,0.9074204495213811
0.052907294708863135,0.9901545710126568,0.9910397063871869,0.9483333333333334,0.947008547008547,0.8970293941558803
0.04141475701893129,0.9893433787823226,0.9902246561472444,0.9483333333333334,0.9484193011647254,0.8969245735357597
0.04179122973726966,0.9883766154393218,0.9901985900866499,0.9533333333333334,0.9533333333333334,0.9068573524019069
0.03832405160962213,0.9903545910146571,0.9916787279755631,0.9466666666666667,0.9473684210526315,0.8943460898733447
