train_loss,val_AUROC,val_AUPRC,val_precision,val_recall
0.5772849274985297,0.8779339815445594,0.8913950457006069,0.579874213836478,0.9829424307036247
0.4217716873506893,0.931800688318927,0.9380188926457298,0.8905109489051095,0.7803837953091685
0.3584210987973539,0.9481372037264773,0.9549463035773782,0.8294117647058824,0.9019189765458422
0.27243013078293965,0.9630448822868467,0.9652197461946745,0.8223443223443223,0.9573560767590619
0.22575576255562177,0.9689150571977102,0.9713432518362884,0.943127962085308,0.8486140724946695
0.1995729802628797,0.9712197754558565,0.974036843564147,0.9346846846846847,0.8848614072494669
0.17832181269751488,0.9694945544948641,0.9733852730176772,0.9551886792452831,0.8635394456289979
0.16723374933098392,0.9736881685231223,0.9750706392584148,0.9638242894056848,0.7953091684434968
0.15795017048700877,0.9755372515018269,0.9765041916721573,0.9431818181818182,0.8848614072494669
0.14684761595274748,0.974608286368985,0.9773782444304321,0.8967611336032388,0.9445628997867804
0.13079802931671264,0.9799166585566536,0.9816628179074837,0.9333333333333333,0.9253731343283582
0.11092752384337215,0.9764750639216484,0.9783350324775518,0.9541284403669725,0.8869936034115139
0.10811393417331824,0.9793946686248662,0.9817326279634263,0.9191489361702128,0.9211087420042644
0.09070806480262558,0.9813454954038343,0.9833740835582999,0.9633867276887872,0.8976545842217484
0.08988341644453325,0.9795362252165374,0.9821576112172921,0.898,0.9573560767590619
0.06928567716814617,0.9813499190473242,0.9823038649098267,0.9149377593360996,0.9402985074626866
0.0820823879726427,0.9824779481372037,0.9851527601935431,0.959731543624161,0.9147121535181236
0.08166094669596254,0.9817657415353581,0.9831819260872539,0.9565217391304348,0.8912579957356077
0.06589053751417014,0.9812702934645091,0.9823137568049143,0.9158110882956879,0.9509594882729211
0.07379979592455173,0.9819161454140086,0.983743428910647,0.9607390300230947,0.8869936034115139
0.07883679046913528,0.9805536632191738,0.9828591802665206,0.9184100418410042,0.9360341151385928
0.0785137487871163,0.9792354174592361,0.9810462967495711,0.9358974358974359,0.9339019189765458
0.06614823461550393,0.9814870519955056,0.983304762456989,0.9504504504504504,0.8997867803837953
0.06677983994238258,0.979478717851171,0.9811415325401727,0.8725868725868726,0.9637526652452025
0.05974740796692113,0.9768201081138469,0.9788115071716394,0.95,0.8912579957356077
0.05789446795494398,0.974174769306992,0.9767088528040677,0.861003861003861,0.9509594882729211
0.0588215602528535,0.9826991303116899,0.982832841358522,0.9492273730684326,0.9168443496801706
0.051180466472883206,0.9835351989312476,0.9845684013962754,0.9592760180995475,0.9040511727078892
0.048764346533706635,0.9846764989515965,0.9864564179204647,0.9153225806451613,0.9680170575692963
0.04182301519279976,0.9827522140335665,0.9837513741717769,0.9270833333333334,0.9488272921108742
0.03798061190907511,0.9820267365012518,0.984207992516442,0.9396551724137931,0.929637526652452
0.0382677116729985,0.982040007431721,0.9839664811684474,0.9361702127659575,0.9381663113006397
0.04117227021357991,0.9771430340885967,0.9798928598188967,0.9704433497536946,0.8400852878464818
0.045441390086674416,0.9812260570296119,0.9830110431430917,0.8904109589041096,0.9701492537313433
0.04650553534067893,0.9822567659627175,0.983891597742546,0.9642058165548099,0.9189765458422174
0.03773318197809308,0.980487308566828,0.9820368531624376,0.9243697478991597,0.9381663113006397
0.03760173913095338,0.9836502136619806,0.9854890002650587,0.9452954048140044,0.9211087420042644
0.0293476748114724,0.9836767555229189,0.9857586626933268,0.9516483516483516,0.9232409381663113
0.026021342150686792,0.9824204407718372,0.9848873831645347,0.9218106995884774,0.9552238805970149
0.042397863430398995,0.9804740376363589,0.9821776751074505,0.9612756264236902,0.8997867803837953
0.0615797264718859,0.9798547275477975,0.9807897632039102,0.9337606837606838,0.9317697228144989
0.03812689601701266,0.9801842889877819,0.9822761960573568,0.9004065040650406,0.9445628997867804
0.028374073498115555,0.9845880260818021,0.984321094222821,0.888015717092338,0.9637526652452025
