Dataset,Model,Backbone,Seeds,AUROC/AUC_mean,AUROC/AUC_std,AUROC/AUC,AUPRC/AUPR_mean,AUPRC/AUPR_std,AUPRC/AUPR,Accuracy_mean,Accuracy_std,Accuracy,F1_mean,F1_std,F1,MCC_mean,MCC_std,MCC
C.elegans,HAG-DTA(GAT),GAT,10,0.9901556007056798,0.00127217035917018,0.9902(0.0013),0.9901550146487323,0.0016099287745017252,0.9902(0.0016),0.9672364672364673,0.002326201085264176,0.9672(0.0023),0.9603117088785353,0.0026720824499045343,0.9603(0.0027),0.9324988687757723,0.004772919456727988,0.9325(0.0048)
C.elegans,HAG-DTA(GCN),GCN,10,0.9910703087766825,0.00121946503146326,0.9911(0.0012),0.9911267591786753,0.0014221817901177544,0.9911(0.0014),0.9672364672364671,0.0033575820569161714,0.9672(0.0034),0.9603410761602648,0.003937982650061443,0.9603(0.0039),0.9324979810091587,0.006889524292312353,0.9325(0.0069)
C.elegans,HAG-DTA(GIN),GIN,10,0.9889231695387162,0.0020066365724613123,0.9889(0.0020),0.9891667342513039,0.0021145044264698543,0.9892(0.0021),0.9638176638176639,0.0034372195766104005,0.9638(0.0034),0.9559823675051184,0.004095721404373474,0.9560(0.0041),0.92545759953664,0.007064198259533807,0.9255(0.0071)
C.elegans,HAG-DTA(SAGE),SAGE,10,0.9899950669308785,0.0013895210989794899,0.9900(0.0014),0.989538487701125,0.002277914679206015,0.9895(0.0023),0.9678062678062677,0.003750886544754316,0.9678(0.0038),0.9609672984798372,0.004541759390190566,0.9610(0.0045),0.9336468429273932,0.007720043913124262,0.9336(0.0077)
Human,HAG-DTA(GAT),GAT,10,0.9778942929746887,0.0021672555470348583,0.9779(0.0022),0.9751608579180464,0.004368687970304565,0.9752(0.0044),0.9415282392026578,0.0056358851162788565,0.9415(0.0056),0.9371501011273932,0.005630064656772484,0.9372(0.0056),0.8826631929989777,0.011066650253535516,0.8827(0.0111)
Human,HAG-DTA(GCN),GCN,10,0.9757309941520468,0.002763510938899977,0.9757(0.0028),0.9712324384202686,0.0092661806932966,0.9712(0.0093),0.9420265780730898,0.006037722956161232,0.9420(0.0060),0.9374363685855955,0.006288099476639814,0.9374(0.0063),0.8836078986823669,0.012029550378517643,0.8836(0.0120)
Human,HAG-DTA(GIN),GIN,10,0.9750485479987129,0.002276376897783635,0.9750(0.0023),0.9744098840722437,0.003160564499629374,0.9744(0.0032),0.9353820598006644,0.0112785682370551,0.9354(0.0113),0.9309920600406987,0.011235350763845174,0.9310(0.0112),0.8707007191824392,0.02189547538148969,0.8707(0.0219)
Human,HAG-DTA(SAGE),SAGE,10,0.9789973035054429,0.00268725330160284,0.9790(0.0027),0.9775433020352988,0.0030791850640413355,0.9775(0.0031),0.9383720930232557,0.006088291033179824,0.9384(0.0061),0.933449928948578,0.006525768642677027,0.9334(0.0065),0.876292046610943,0.01209758102151412,0.8763(0.0121)
