Dataset,Model,Backbone,Seed,AUROC/AUC,AUPRC/AUPR,Accuracy,F1,MCC
C.elegans,HAG-DTA(GAT),GAT,100,0.988578690813622,0.9888662955289949,0.9658119658119658,0.9586206896551724,0.9295111098733942
C.elegans,HAG-DTA(GAT),GAT,1000,0.989673999381276,0.9898544201435088,0.9672364672364672,0.9602763385146804,0.9324350730229032
C.elegans,HAG-DTA(GAT),GAT,2000,0.9899833613431326,0.990018908400926,0.9629629629629628,0.9553264604810996,0.923696290164798
C.elegans,HAG-DTA(GAT),GAT,3000,0.9879348834875964,0.9896845830320404,0.9672364672364672,0.9601386481802426,0.9324317236873804
C.elegans,HAG-DTA(GAT),GAT,4000,0.9897325273200056,0.9865102062724392,0.9643874643874644,0.9572649572649572,0.9267771153720472
C.elegans,HAG-DTA(GAT),GAT,5000,0.9916806715662912,0.992013599904469,0.9686609686609686,0.9615384615384616,0.93551682150981
C.elegans,HAG-DTA(GAT),GAT,6000,0.9909281694969104,0.9910602354259466,0.97008547008547,0.963855421686747,0.9383431921877587
C.elegans,HAG-DTA(GAT),GAT,7000,0.9906020852668456,0.991124439383322,0.9686609686609686,0.9620689655172414,0.9353866224401944
C.elegans,HAG-DTA(GAT),GAT,8000,0.9904097791824482,0.9906532806576366,0.97008547008547,0.9634782608695652,0.9383523179238764
C.elegans,HAG-DTA(GAT),GAT,9000,0.9920318391986688,0.9917641777380408,0.9672364672364672,0.9605488850771868,0.9325384215755588
C.elegans,HAG-DTA(GCN),GCN,100,0.990911447228702,0.9911414756701118,0.97008547008547,0.9637305699481864,0.938313664656898
C.elegans,HAG-DTA(GCN),GCN,1000,0.99294320281603,0.9932520739715206,0.9658119658119658,0.9586206896551724,0.9295111098733942
C.elegans,HAG-DTA(GCN),GCN,2000,0.991488365481894,0.9920612966654956,0.9729344729344728,0.9672977624784852,0.9442156796702924
C.elegans,HAG-DTA(GCN),GCN,3000,0.9914800043477898,0.9918272638204398,0.97008547008547,0.9637305699481864,0.938313664656898
C.elegans,HAG-DTA(GCN),GCN,4000,0.9892810260783772,0.989619862259684,0.9629629629629628,0.9553264604810996,0.923696290164798
C.elegans,HAG-DTA(GCN),GCN,5000,0.9888796916413742,0.9893319475997928,0.9686609686609686,0.9618055555555556,0.9353862972157462
C.elegans,HAG-DTA(GCN),GCN,6000,0.9907943913512428,0.988918984563244,0.9643874643874644,0.9571183533447684,0.9266718232679806
C.elegans,HAG-DTA(GCN),GCN,7000,0.9911037533130994,0.990966872425108,0.9629629629629628,0.9554794520547946,0.9237886527698018
C.elegans,HAG-DTA(GCN),GCN,8000,0.991814449711959,0.9918130781477598,0.9686609686609686,0.9615384615384616,0.93551682150981
C.elegans,HAG-DTA(GCN),GCN,9000,0.992006755796356,0.9923347366635976,0.9658119658119658,0.9587628865979382,0.9295658063059672
C.elegans,HAG-DTA(GIN),GIN,100,0.9915050877501024,0.9916481987315412,0.9643874643874644,0.9568221070811744,0.926556481388908
C.elegans,HAG-DTA(GIN),GIN,1000,0.9908863638263896,0.99110207419655,0.9672364672364672,0.9602763385146804,0.9324350730229032
C.elegans,HAG-DTA(GIN),GIN,2000,0.988946580714208,0.9895211883278971,0.9643874643874644,0.9560632688927944,0.9268330876359244
C.elegans,HAG-DTA(GIN),GIN,3000,0.9889716641165208,0.989587009931096,0.9672364672364672,0.9605488850771868,0.9325384215755588
C.elegans,HAG-DTA(GIN),GIN,4000,0.9843897626274029,0.9842234425753474,0.9643874643874644,0.956369982547993,0.9266245039642834
C.elegans,HAG-DTA(GIN),GIN,5000,0.9875920769893228,0.9877762443116822,0.9672364672364672,0.9601386481802426,0.9324317236873804
C.elegans,HAG-DTA(GIN),GIN,6000,0.9882609677176613,0.9882299024773562,0.9558404558404558,0.9468267581475128,0.9090720283452458
C.elegans,HAG-DTA(GIN),GIN,7000,0.9899081111361946,0.9905755261370373,0.9629629629629628,0.9545454545454546,0.923713465823654
C.elegans,HAG-DTA(GIN),GIN,8000,0.988503440606684,0.9889642446945686,0.9615384615384616,0.953528399311532,0.9207257297401577
C.elegans,HAG-DTA(GIN),GIN,9000,0.9902676399026764,0.9900395111299618,0.9629629629629628,0.9547038327526132,0.9236454801823848
C.elegans,HAG-DTA(SAGE),SAGE,100,0.9916723104321872,0.9921474460155286,0.9729344729344728,0.9670710571923744,0.9442015490915688
C.elegans,HAG-DTA(SAGE),SAGE,1000,0.9877049522997298,0.9851422728405564,0.9643874643874644,0.9571183533447684,0.9266718232679806
C.elegans,HAG-DTA(SAGE),SAGE,2000,0.989155609066814,0.9889601083097884,0.9643874643874644,0.9565217391304348,0.9265694125096458
C.elegans,HAG-DTA(SAGE),SAGE,3000,0.9910870310448908,0.99109602989627,0.9629629629629628,0.9553264604810996,0.923696290164798
C.elegans,HAG-DTA(SAGE),SAGE,4000,0.9883403984916516,0.988579939079776,0.9686609686609686,0.9618055555555556,0.9353862972157462
C.elegans,HAG-DTA(SAGE),SAGE,5000,0.990321987274354,0.9901310449011188,0.9672364672364672,0.9604130808950088,0.9324707047052252
C.elegans,HAG-DTA(SAGE),SAGE,6000,0.9903345289755102,0.9913178697115732,0.9686609686609686,0.9621993127147768,0.9354353224471368
C.elegans,HAG-DTA(SAGE),SAGE,7000,0.9919147833212096,0.992305788559452,0.9715099715099716,0.9653979238754328,0.941251937691892
C.elegans,HAG-DTA(SAGE),SAGE,8000,0.989155609066814,0.987740548666166,0.9729344729344728,0.9672977624784852,0.9442156796702924
C.elegans,HAG-DTA(SAGE),SAGE,9000,0.9902634593356242,0.9879638290310212,0.9643874643874644,0.9565217391304348,0.9265694125096458
Human,HAG-DTA(GAT),GAT,100,0.9786000421674048,0.977720033758797,0.9451827242524916,0.9411764705882354,0.8899019019173396
Human,HAG-DTA(GAT),GAT,1000,0.9797152590521212,0.9795635950246632,0.9435215946843852,0.9386281588447652,0.8864047874757102
Human,HAG-DTA(GAT),GAT,2000,0.9773405683722272,0.9694207658661512,0.9485049833887044,0.9443447037701974,0.8964365473872802
Human,HAG-DTA(GAT),GAT,3000,0.9735676953294052,0.9697390427055612,0.9352159468438538,0.9302325581395348,0.8697726524203587
Human,HAG-DTA(GAT),GAT,4000,0.9790050711852368,0.9778521181059682,0.9385382059800664,0.9342806394316164,0.876688849243271
