Dataset,Model,Backbone,Seed,AUROC/AUC,AUPRC/AUPR,Accuracy,F1,MCC
Human,HAG-DTA(GAT),GAT,5000,0.9773183750013872,0.97542374513808,0.9418604651162792,0.9369369369369368,0.883055136743484
Human,HAG-DTA(GAT),GAT,6000,0.9812965367244804,0.982002902956206,0.9451827242524916,0.94010889292196,0.8898320254313002
Human,HAG-DTA(GAT),GAT,7000,0.9767746374158038,0.9704357214760656,0.9401993355481728,0.9366197183098592,0.8805380722142423
Human,HAG-DTA(GAT),GAT,8000,0.9792325532363484,0.9765499968035134,0.946843853820598,0.9428571428571428,0.8931887968790012
Human,HAG-DTA(GAT),GAT,9000,0.97609219126247,0.9729006573454596,0.9302325581395348,0.9263157894736844,0.8608131602777892
Human,HAG-DTA(GCN),GCN,100,0.9703385598721662,0.952421512286148,0.9385382059800664,0.9323583180987204,0.8766785607794454
Human,HAG-DTA(GCN),GCN,1000,0.9769799260960752,0.970717365049204,0.9435215946843852,0.9390681003584228,0.8864365214110546
Human,HAG-DTA(GCN),GCN,2000,0.9717700322913548,0.9711312530824052,0.9318936877076412,0.927689594356261,0.863744675107047
Human,HAG-DTA(GCN),GCN,3000,0.9786999123361853,0.9805146601664224,0.9501661129568106,0.9460431654676258,0.8997680781709607
Human,HAG-DTA(GCN),GCN,4000,0.9749381359787832,0.957294838578614,0.9385382059800664,0.933572710951526,0.8763909279952067
Human,HAG-DTA(GCN),GCN,5000,0.976802379129354,0.9733622321497604,0.9485049833887044,0.9435336976320584,0.8966358331710896
Human,HAG-DTA(GCN),GCN,6000,0.9759423860092992,0.9766553384555006,0.9485049833887044,0.9451327433628318,0.8968778105762234
Human,HAG-DTA(GCN),GCN,7000,0.978483526970494,0.9795756021580108,0.9418604651162792,0.9373881932021468,0.8831298752968143
Human,HAG-DTA(GCN),GCN,8000,0.9755817437331468,0.9745665775394626,0.9435215946843852,0.9388489208633092,0.88640084391115
Human,HAG-DTA(GCN),GCN,9000,0.9777733391036098,0.9760850047371576,0.9352159468438538,0.9307282415630548,0.8700158604046763
Human,HAG-DTA(GIN),GIN,100,0.9756094854466972,0.9785109752260842,0.9501661129568106,0.946808510638298,0.900123735995187
Human,HAG-DTA(GIN),GIN,1000,0.9734456317897844,0.9737913160919432,0.9335548172757476,0.92831541218638,0.8663959075424171
Human,HAG-DTA(GIN),GIN,2000,0.9757204523008975,0.9762903451823524,0.9401993355481728,0.9359430604982208,0.879952007482001
Human,HAG-DTA(GIN),GIN,3000,0.9780563045818216,0.97430695873091,0.9435215946843852,0.9397163120567376,0.8867801959597494
Human,HAG-DTA(GIN),GIN,4000,0.9793823584895192,0.9796526877243474,0.9451827242524916,0.940754039497307,0.889754674256589
Human,HAG-DTA(GIN),GIN,5000,0.9727298955801902,0.9722709554398958,0.915282392026578,0.9125214408233276,0.8335640193674444
Human,HAG-DTA(GIN),GIN,6000,0.9741336262858284,0.9737971702904292,0.920265780730897,0.9151943462897526,0.8402864639340457
Human,HAG-DTA(GIN),GIN,7000,0.9720585461122764,0.9698410326575992,0.9435215946843852,0.937956204379562,0.8866557559840097
Human,HAG-DTA(GIN),GIN,8000,0.9745331069609507,0.9704972081150948,0.9302325581395348,0.9257950530035336,0.8602951310032644
Human,HAG-DTA(GIN),GIN,9000,0.9748160724391624,0.9751401912637806,0.9318936877076412,0.926916221033868,0.8631993002996828
Human,HAG-DTA(SAGE),SAGE,100,0.981390858550551,0.9820117051859586,0.9485049833887044,0.9445438282647584,0.8964870981732698
Human,HAG-DTA(SAGE),SAGE,1000,0.9770354095231754,0.9738590914626848,0.9368770764119602,0.9309090909090908,0.8731407320392579
Human,HAG-DTA(SAGE),SAGE,2000,0.9759923210936892,0.9778659156961512,0.9401993355481728,0.9347826086956522,0.879757133282816
Human,HAG-DTA(SAGE),SAGE,3000,0.9797152590521212,0.9765909263386392,0.9352159468438538,0.9302325581395348,0.8697726524203587
Human,HAG-DTA(SAGE),SAGE,4000,0.977296181630547,0.9757737323109849,0.9318936877076412,0.925589836660617,0.863058121679725
Human,HAG-DTA(SAGE),SAGE,5000,0.9794544869447496,0.9765516884610822,0.9435215946843852,0.9390681003584228,0.8864365214110546
Human,HAG-DTA(SAGE),SAGE,6000,0.9790328128987872,0.9782720838874168,0.9418604651162792,0.9364791288566244,0.8831385494934064
Human,HAG-DTA(SAGE),SAGE,7000,0.9811689248421496,0.9788006618464192,0.9302325581395348,0.9265734265734265,0.8611291221134941
Human,HAG-DTA(SAGE),SAGE,8000,0.9837821942585748,0.982563276486791,0.9435215946843852,0.939929328621908,0.8869733537622225
Human,HAG-DTA(SAGE),SAGE,9000,0.975104586260084,0.973143938676859,0.9318936877076412,0.926391382405745,0.8630271817338243
