x_H_1,x_H_2,xt,x_G
0.17552077540460487,0.454658393192353,0.09942057888820696,0.27040039356394796
0.15463955559541134,0.4693505456761935,0.13139650275374198,0.24461357341507065
0.15936383576414676,0.44977344155330484,0.1346411443706301,0.25622159147728185
0.15072672501998297,0.4522139075522802,0.13039887119040788,0.26666033387763793
0.12880419818530145,0.44240123246009133,0.1351149605242515,0.293679727812826
0.15399581619131367,0.44512074628729625,0.12078559931282677,0.2800978672107176
0.1452410910772265,0.4306716871407769,0.11920720171935967,0.30488019644456443
0.1437823179227089,0.42251803855611086,0.12039742422478449,0.3133020855356248
0.13709654958131073,0.4078372456998705,0.11943314945105377,0.3356330783928976
0.12959623903800846,0.39736243572343727,0.11813482815143167,0.35490643103840785
0.12112852647439461,0.3785003129605407,0.11887605991693453,0.3814949076229433
0.09379516783544029,0.3816196022259944,0.12294440113268117,0.40164095472386624
0.09608028283254758,0.3548448268941491,0.12524274750878112,0.423832134518499
0.09992807631336235,0.33424111272983087,0.12724443405306662,0.43858637539161155
0.10096410603675539,0.321714751115451,0.14209313310188773,0.4352280710768975
0.09916414465971904,0.32337485333709554,0.13943729794875048,0.43802373305658926
0.09845320507913559,0.31676983087408295,0.14099200156339806,0.4437849256636423
