train_loss,val_loss
53.563043230164176,16.259155
3.284110529352635,1.2629513
1.1203463610696514,0.8535144
1.0758647507118664,1.2203424
1.0287330420393195,0.5273091
0.9926260344394496,0.60781074
0.9414279219312933,0.51213926
0.9006718146174406,0.48360488
0.8523589451832624,0.4376069
0.866399667556384,0.51736265
0.8584734264893422,0.4401605
0.8212406751293041,0.44967398
0.7810617090311134,0.41223356
0.7837762454798464,0.42767093
0.7434812969084172,0.38832515
0.7276390642215181,0.37471983
0.7054394959823793,0.4194291
