train_loss,test_loss
12.180180574942728,4.8505793
2.3940622881608182,1.8862094
0.8827806018577886,1.1596278
0.7607937563315734,0.65968084
0.7423916743851257,0.6156422
0.6911396875716928,0.56354487
0.6601348483913729,0.54169816
0.67945829127854,0.50483215
0.6372791663137076,0.5315825
0.6082347597851594,0.5248437
0.5960159808894673,0.45883468
0.5826486736919175,0.43457246
0.5564819889632904,0.4393544
0.5527104495513708,0.41465965
0.515950764721502,0.39332277
0.5078918043011476,0.4008724
0.4956332542669142,0.3947599
0.47742842122939777,0.36638725
0.4904210382610962,0.3958996
0.4781382564090268,0.35902926
0.46206698561499104,0.35943332
0.4481272749899676,0.353226
0.4482887380826419,0.35016423
0.4421375168785352,0.37337932
0.4290482520600206,0.3706508
0.4183516705568288,0.3293431
0.40995493841315955,0.33782303
0.411681098625948,0.32480794
0.3941587867123207,0.3167903
0.388119832784292,0.30361712
0.3870565249836503,0.30773503
0.36915982457563956,0.32003158
0.37739011075829276,0.31204665
0.363736539657891,0.30252975
0.3622817862488863,0.30063766
0.3556293255270151,0.3081561
0.35416485663468605,0.2948899
0.34782440365574513,0.28843674
0.3411900801827311,0.29060653
0.34517891589258554,0.2820279
0.33162586041259506,0.29220602
0.33386814572850537,0.28090695
0.3234274944758002,0.27963573
0.31442614208487746,0.275397
0.3174518913989687,0.28090036
0.3125820688681415,0.2873327
0.31008534753017036,0.27650017
0.306375506264918,0.282336
0.30313016620248134,0.27633318
0.3072572662280522,0.28750864
0.29660792929014534,0.26517153
0.29596885887900454,0.26194057
0.29225403416711737,0.2889986
0.28689022923033713,0.2720025
0.2850731417321363,0.26680303
0.28093801203326546,0.2637436
0.268576202199433,0.26662713
0.27551638682143886,0.26922905
0.271784940923849,0.2543228
0.27023330616187546,0.25334537
0.2650073598836792,0.26420873
0.26565330599259235,0.26933813
0.2660956658237917,0.2569784
0.26195401666401996,0.26872364
0.25656233409513807,0.2531921
0.2561688997999106,0.2574286
0.25886351157851106,0.2622655
0.259399736443048,0.25883207
0.25201190269279905,0.25917107
0.2543722514497732,0.26621357
0.24440381997054086,0.2569675
0.2461076054097669,0.2611004
0.2450301378494176,0.25180557
0.2470790820647988,0.24880895
0.23816253381120808,0.26459426
0.23728975142703826,0.24878247
0.2450629462880143,0.25364828
0.24225900607121253,0.25086004
0.23691069462600536,0.25222588
0.22918572648735003,0.2431488
0.23154019526967717,0.2429752
0.22747193748321928,0.2419149
0.22605839988408183,0.24593145
0.21700443178569986,0.24482808
0.2254938105622353,0.24382037
0.2255342886616968,0.2562744
0.22277147605792694,0.24246612
0.21280515945363251,0.23711713
0.21821022633521747,0.23767427
0.21938226054834783,0.246021
0.21165105175150475,0.24020824
0.21443739854103364,0.2557179
0.21172128671666146,0.23482788
0.21249966880369517,0.24680366
0.2115055013319788,0.23920913
0.2139407880940415,0.2425737
0.2069603815266645,0.24190047
0.20788226515509245,0.24430136
0.20841935927029437,0.23535909
0.2103836516619376,0.23743017
0.20550560275129756,0.24237363
0.202008668585849,0.22629274
0.201180326866521,0.23719987
0.20497220007483022,0.23809351
0.20074609699963591,0.23431078
0.20402982937616632,0.24610607
0.1995747846735749,0.23222776
0.1963146836895879,0.23515503
0.19702532429702935,0.23299909
0.20006553741258373,0.2350928
0.19129331997267537,0.22859873
0.19416947265878554,0.23482527
0.19157572357878083,0.22791034
0.18986289770393946,0.23241155
0.19092442398348108,0.2381373
0.19022110087426242,0.23280124
0.187202177660387,0.23051278
0.1898820125763003,0.23714188
0.1881458031824676,0.22878355
0.1888341833256137,0.23990713
0.18220971195588123,0.23363498
0.18523801436137155,0.22956742
0.18395776431143385,0.2307645
0.18407980906004762,0.23354487
0.18446858284368328,0.22917451
0.17681681931466234,0.22785103
0.18828115093411038,0.22196741
0.1864880944182676,0.2287989
0.1819417928936363,0.23549186
0.18556373311809235,0.22589728
0.17928544816323136,0.22435173
0.17684686374314,0.22573368
0.1788771527661004,0.22230817
0.17378868268890368,0.22509281
0.17594271675519724,0.22678865
0.1737136875279917,0.22804786
0.18527042388006928,0.22555318
0.18692116811544304,0.2306473
0.18316169214840752,0.23809583
0.1778761409267701,0.22551472
0.1766342570987228,0.22389421
0.17547789236745887,0.22482072
0.17288593314144832,0.22195911
0.1696090593959047,0.22306243
0.17408821031726093,0.2250528
0.1745970198010176,0.22298804
0.16934016482818434,0.22882536
0.16856758230926033,0.2242858
0.1669624651450752,0.2216485
0.1704831361261351,0.22947098
0.16476276174222168,0.223991
0.1659118612072657,0.22648811
0.16706498953554183,0.22085363
0.16852594706198853,0.23087034
0.163931563578693,0.2155943
0.16449183554045071,0.22145407
0.16228437673823765,0.21657948
0.162454289712674,0.2255147
0.1623925367304952,0.22865583
0.1610767560307709,0.21928497
0.16250611120954087,0.22191454
0.16218916544692066,0.21852799
0.16190940803740148,0.22146206
0.15899866751676206,0.21726479
0.16042655995909155,0.22701411
0.15779707144288735,0.22068794
0.1544547794459775,0.21810763
0.15625313857507375,0.21966411
0.15531112929650087,0.22061785
0.15835994899339553,0.22258525
0.15888993226686035,0.2158301
0.15702598023831554,0.2219981
0.1529803793467739,0.22524841
0.15777307522236933,0.2203249
0.1572488717360589,0.22176328
0.14980523904262996,0.21667139
0.15115156705616706,0.22143677
0.1527938115873305,0.21615422
0.15757555353758596,0.22870664
0.15399276784726112,0.22037095
0.14905869643794628,0.2165123
0.1516304714229649,0.21970522
0.1510761846530688,0.21706456
0.15250124575221138,0.2201683
0.15161738948377282,0.21596873
0.1503490725283633,0.21900734
0.1517319480617768,0.22391891
0.1535397569973096,0.21783601
0.14888803958702437,0.21441083
0.14484185099858765,0.2260229
0.14910615690050724,0.216896
0.14647870379153755,0.21382357
0.1452483810525461,0.21660846
0.143899313880024,0.22063032
0.14537793103402333,0.21680358
0.14684668901433467,0.2147572
0.1443438033534583,0.22069621
0.14562901810607637,0.22117898
0.14866652181142245,0.22059518
0.14678259726736023,0.21942139
0.1432543360610116,0.21711548
0.14382842712501154,0.21849427
0.14369372192243413,0.2144485
0.14337397465464655,0.21976224
0.143696073159798,0.2105803
0.14389515627042598,0.21572767
0.1431279581747839,0.22457097
0.14164060227151098,0.21099654
0.14148574212693488,0.21501638
0.14411203751813048,0.22182356
0.14105721300072652,0.21216717
0.14000928245593705,0.21288665
0.1406656738290636,0.21672317
0.14087532303622285,0.21413201
0.13904205064351668,0.21909311
0.14194226296843027,0.21752292
0.14159707518361833,0.21632586
0.1444359700072262,0.22171605
0.14193563223608593,0.22331916
0.15267059501582686,0.22080444
0.15385682921335167,0.22371551
0.1566050340290088,0.21714747
0.1517224155106427,0.22060464
0.15534147687192676,0.22076842
0.15115769653334402,0.22249809
0.1463611471375023,0.21817449
0.1435853219778119,0.21735758
0.13874710489733477,0.21554902
0.13429769192161362,0.2134102
0.13799327624536195,0.21377806
0.13558377074346198,0.21504837
0.13408649665978278,0.217659
0.1389365840596455,0.21056238
0.1387844012597589,0.20943253
0.13779487389992917,0.22266829
0.13664429514450757,0.21377593
0.13297966261607985,0.21054554
0.13492646297093522,0.211098
0.13186294759251788,0.20898989
0.1343213518004462,0.20815228
0.13142178700553392,0.21299542
0.13467069707943552,0.21272133
0.13122469488304378,0.21154995
0.13307876840315905,0.2053164
0.13323997949926578,0.21079077
0.1328977855300357,0.21183015
0.13638316823691213,0.22149841
0.13225027471173925,0.21347325
0.13102819506356503,0.21658124
0.13018771479978525,0.21915598
0.13051430872694084,0.21085836
0.12686057623550456,0.21196216
0.12816423721623993,0.21353416
0.13218376175155752,0.20833635
0.12917049217840967,0.21253589
0.13028036188421982,0.2129184
0.1268257169542455,0.20893404
0.12640274481766522,0.20984086
0.12873300083132108,0.20953235
0.12801896678159613,0.20942067
0.12550006479388998,0.21206142
0.12569232199528171,0.21104592
0.12882467313314658,0.20970233
0.12728048187303417,0.21751307
0.1271345653380581,0.21398775
0.1275285440867086,0.20941228
0.12706149894642124,0.21188739
0.12655413722773953,0.2115163
0.12822027594400826,0.21006414
0.12524247830664495,0.20609143
0.1260137196086156,0.22151856
0.12681884451323897,0.2172715
0.12499982960463274,0.20806395
0.12411304038595984,0.21057251
0.12482745507569165,0.21428446
0.12260123775103007,0.21055935
0.12209204127377694,0.20975086
0.12494575027068526,0.22005172
0.1240021853682371,0.21009636
0.12335341125322133,0.21111122
0.12623331889630335,0.21198307
0.12371253944439009,0.21383941
0.1220462849005375,0.20893355
0.12162620948877025,0.21050969
0.12661342074136558,0.21175095
0.12233797049028353,0.21609047
0.11946441925443953,0.21283534
0.12203203689401869,0.21193609
0.12164942979465171,0.2153694
0.12192842790296661,0.21721293
0.12313862432189751,0.21398154
0.12114649011900676,0.218105
0.1192768802939965,0.21277708
0.11960909929884173,0.21045166
0.1215425733880552,0.2073219
0.12052514578379316,0.21045686
0.12138405246379742,0.21735558
0.12200712499875169,0.20757185
0.12380585607917965,0.21190305
0.12107051882910994,0.21336867
0.11955068235383821,0.21115145
0.11867359558666685,0.2175539
0.11929310155433177,0.20702869
0.1174343986064731,0.20908508
0.12068009140092059,0.21114942
0.11961988532582687,0.20957619
0.12165487996307528,0.21181533
0.117560041125215,0.21209344
0.11822435729354941,0.20849666
0.11859541281297414,0.21143703
0.11621723936027796,0.207663
0.11659498234247996,0.21050519
0.11635628250470455,0.21147344
0.11594767005065373,0.21372762
0.11695595150232639,0.21193326
0.11661227457960088,0.21303794
0.12033921065675958,0.20774966
0.11703110853889676,0.21525815
0.11784855832685576,0.21375771
0.12311719475470345,0.21737704
0.1220645245822352,0.21488278
0.11766818867703173,0.21356323
0.1205562583570862,0.20982501
0.11705157621370607,0.21106026
0.1151599261636343,0.21230057
0.11748655900629262,0.20780243
0.11452909685081733,0.20893432
0.11630869747412373,0.20804064
0.11414855040308196,0.210759
0.11413813237456918,0.20661148
0.11305323985343466,0.20821828
0.11304015369127517,0.20978388
0.11652135459543617,0.20467356
0.11465990685082982,0.2088168
0.11255225932470557,0.20731574
0.11460448445974329,0.20948291
0.11678899086046207,0.21352476
0.11806641055185803,0.21324939
0.11858627359216742,0.21163516
0.11732901231847821,0.2082174
0.11758430873177773,0.21241914
0.11680113414251451,0.20999573
0.11641094911194148,0.21856867
0.11459615781925875,0.20985793
0.1143206996844855,0.20907015
0.11563352909518308,0.20671664
0.11255735669626858,0.20553252
0.11080838211495342,0.20385732
0.11433494824728417,0.21030751
0.11297679563342768,0.2067933
0.11065098498134694,0.21573955
0.11445145333721397,0.2080333
0.11129258313894291,0.20977406
0.11590685795837628,0.2076809
0.11364085623250929,0.2070718
0.11080983800052464,0.20887907
0.11051755744952282,0.21329226
0.10940010023794834,0.21357371
0.10983043272117547,0.20629776
0.10898426139182407,0.20601258
0.10697425592693384,0.21242303
0.10733304876106231,0.20481873
0.11068952233158513,0.20498459
0.11038397008926926,0.21014674
0.11136162673228561,0.20761758
0.10979736544882576,0.20751846
0.10835809312129586,0.20743318
0.11035910613937784,0.21419036
0.11043293775972311,0.20493251
0.11032958935574678,0.20779903
0.10769908369577494,0.20991318
0.10798137179021589,0.21179102
0.1101503998878845,0.20705684
0.10638196134537752,0.20349225
0.10796348980064163,0.2022715
0.10535636239552816,0.2052539
0.10819229529772686,0.20860231
0.10728762093147588,0.21136889
0.10409888435236364,0.20805903
0.10693073986230696,0.21037354
0.10666041500562393,0.20707208
0.10706161894989996,0.20943789
0.10488647700146175,0.20452206
0.10635316696344907,0.20732787
0.10887096146099162,0.21172187
0.10973952707951226,0.20752192
0.10776475117480347,0.20925756
0.11033105430957238,0.20960891
0.10759254534442728,0.20628674
0.10689521843427231,0.20991698
0.10757080283559455,0.20548873
0.10651496405191413,0.21065162
0.10705377194284679,0.20826626
0.10748649057461071,0.20857328
0.10673236967520545,0.21174307
0.10293777391182428,0.20725746
0.10450551942244302,0.208218
0.10511857177132589,0.20556529
0.10712400793786496,0.21036571
0.10338465696890724,0.20251486
0.1040701620054066,0.2041957
