x_H_1,x_H_2,xt,x_G
0.14118482,0.28030413,0.32365122,0.25485983
0.14072967,0.27715826,0.32384354,0.2582685
0.1375727,0.27805898,0.32872203,0.2556462
0.14777173,0.27850658,0.30658412,0.26713762
0.13900973,0.27270752,0.30723542,0.28104725
0.13584624,0.27759668,0.3101404,0.2764166
0.12870723,0.2787319,0.31804606,0.2745147
0.13850264,0.2731267,0.31218767,0.27618304
0.13834223,0.27498832,0.31431308,0.27235627
0.14360306,0.26967072,0.31690693,0.26981926
0.14615457,0.26637915,0.3209529,0.26651353
0.13986999,0.27191353,0.31825027,0.2699662
0.1406864,0.27494502,0.3212971,0.26307142
0.14426777,0.27516076,0.3157565,0.26481497
0.14203769,0.27734587,0.3189512,0.2616652
0.13547142,0.2780406,0.31897897,0.2675091
0.13849051,0.27402726,0.3222503,0.26523188
0.14216158,0.28430927,0.3130191,0.2605101
0.14015903,0.28235808,0.3145242,0.26295868
0.13767,0.28613046,0.3130152,0.2631844
0.14062737,0.28166494,0.31218913,0.26551858
0.1368912,0.28871754,0.31595963,0.25843158
0.14084667,0.28089172,0.31589007,0.26237154
0.13859165,0.2793167,0.32155436,0.2605373
0.13494302,0.2819379,0.31236544,0.27075365
0.13958396,0.28539476,0.31374037,0.2612809
0.13881838,0.28685254,0.31452882,0.25980026
0.13866219,0.2863528,0.31371695,0.26126796
0.14007398,0.28507516,0.3179907,0.25686017
0.13760595,0.28920653,0.31657258,0.2566149
0.13982078,0.28366822,0.31617522,0.26033577
0.13540955,0.2892289,0.313685,0.26167664
0.13842297,0.2907097,0.3129082,0.25795916
0.13576713,0.29307407,0.31498802,0.2561708
0.13338959,0.29699054,0.30902126,0.26059863
0.1325336,0.29242092,0.3120696,0.26297587
0.13161658,0.29630536,0.30936,0.26271808
0.13771746,0.29092765,0.31425738,0.25709748
0.1341468,0.29204115,0.31097183,0.26284018
0.13774851,0.29231152,0.31633362,0.2536062
0.13500842,0.29606295,0.3113768,0.25755185
0.13507122,0.29724497,0.30894944,0.2587344
0.13427773,0.29521048,0.3117986,0.25871325
0.13743529,0.29059345,0.30825114,0.26372015
0.13367406,0.2955999,0.30944356,0.26128256
0.1355241,0.29903376,0.30144316,0.26399902
0.13055615,0.2953574,0.30648768,0.26759875
0.13166031,0.2913618,0.3076614,0.26931643
0.13247208,0.2953072,0.3095457,0.26267505
0.13330407,0.29626334,0.30862296,0.2618095
0.13395216,0.29657292,0.30622703,0.26324776
0.13329819,0.29565147,0.30553657,0.26551378
0.13006282,0.297776,0.30605206,0.26610917
0.13026331,0.298729,0.31023505,0.26077256
0.12947667,0.3055181,0.30417147,0.26083377
0.128667,0.3045121,0.30462226,0.26219863
0.12931435,0.30521473,0.30237684,0.2630941
0.12716289,0.30179185,0.30820817,0.262837
0.12533669,0.3021887,0.3061632,0.2663115
0.1260214,0.30549812,0.30964446,0.25883603
0.12605882,0.31068966,0.29968894,0.26356262
0.123986796,0.3108387,0.3028175,0.26235697
0.12425337,0.30438218,0.30708852,0.2642759
0.123441346,0.3068614,0.30156472,0.26813257
0.1230407,0.3082218,0.30059066,0.26814693
0.12590171,0.3113725,0.29566744,0.2670583
0.12490609,0.31180468,0.29771864,0.26557055
0.12679379,0.3109764,0.30135635,0.26087344
0.12464018,0.311385,0.30212823,0.2618466
0.12223978,0.31195587,0.30014634,0.2656579
0.1237094,0.31593326,0.30121076,0.25914657
0.12521642,0.31251574,0.30326968,0.25899816
0.12574188,0.3113541,0.29902875,0.26387534
0.12479265,0.3114324,0.29951918,0.26425573
0.12506881,0.31060115,0.29753557,0.26679447
0.12651657,0.31499797,0.30047032,0.25801522
0.12363081,0.31653488,0.29744273,0.26239157
0.12763368,0.31350598,0.30193463,0.25692567
0.12642549,0.31877306,0.29245457,0.2623469
0.1259331,0.31374085,0.29607376,0.2642523
0.12928474,0.31728107,0.2891114,0.26432276
0.1275952,0.31881195,0.28971455,0.2638783
0.12765194,0.3223376,0.29033118,0.25967923
0.1301662,0.3132802,0.2929014,0.2636523
0.13499679,0.3137063,0.28988957,0.2614075
0.13154124,0.3167149,0.27171242,0.2800314
0.13681258,0.31282455,0.26087987,0.28948298
0.14595209,0.300719,0.25463712,0.2986918
0.13341652,0.2991985,0.26222223,0.30516273
0.12616286,0.30812788,0.26219428,0.30351502
0.13050067,0.31207266,0.25575382,0.30167282
0.13283458,0.30812952,0.25859085,0.3004451
0.1278427,0.30113107,0.262778,0.30824828
0.13029101,0.3042795,0.2655583,0.29987124
0.1325509,0.30020526,0.27208403,0.29515982
0.12820722,0.30419996,0.2716711,0.29592162
0.13066909,0.30664235,0.2706709,0.29201773
0.13167378,0.30876806,0.26177695,0.29778108
0.12903212,0.30493128,0.26603422,0.30000237
0.13163829,0.3080115,0.26629537,0.29405484
0.12763283,0.30842635,0.27121377,0.29272705
0.12932543,0.30868787,0.26905096,0.29293582
0.12914217,0.30609006,0.2736235,0.29114434
0.12729514,0.3128626,0.26825717,0.2915851
0.12671353,0.3146065,0.2656232,0.2930567
0.12928577,0.3113326,0.26742435,0.2919573
0.12580064,0.31962186,0.26135492,0.29322258
0.1290003,0.31681472,0.26615363,0.28803128
0.13071372,0.31157503,0.26834223,0.2893691
0.13110664,0.31403494,0.26508224,0.28977615
0.13007385,0.31391993,0.26331037,0.29269585
0.12899226,0.31116474,0.26532194,0.29452103
0.12989803,0.31220326,0.27097672,0.28692216
0.1326388,0.3145521,0.26756105,0.285248
0.12917557,0.31323677,0.2692563,0.2883315
0.124855295,0.3147808,0.26580486,0.29455897
0.12711427,0.32080048,0.26094478,0.29114047
0.12921049,0.3174404,0.26505855,0.28829056
0.12728044,0.31672525,0.26699,0.2890042
0.12597011,0.31647277,0.26556662,0.29199052
0.12331833,0.3193763,0.26504782,0.29225758
0.12922262,0.3142986,0.26460934,0.29186952
0.1285069,0.31501034,0.26644918,0.29003352
0.12877557,0.32271174,0.25927445,0.28923827
0.12736174,0.3150706,0.2649644,0.29260325
0.12735394,0.31791717,0.26043054,0.29429823
0.12706594,0.3210318,0.2563967,0.2955055
0.12850353,0.31794527,0.264986,0.2885652
0.12959018,0.3135068,0.26428226,0.29262075
0.12832795,0.31609336,0.2618915,0.29368716
0.12617324,0.32441458,0.25721502,0.29219708
0.12792717,0.32311955,0.26092258,0.28803068
0.12435071,0.32435268,0.26095846,0.29033822
0.12659168,0.32354784,0.25896242,0.29089797
0.12067986,0.32914662,0.25777763,0.29239586
0.12065458,0.3249488,0.25813824,0.2962583
0.12380755,0.32816643,0.25530052,0.29272553
0.12041091,0.3301891,0.25265422,0.29674575
0.12169271,0.32755938,0.2573392,0.29340878
0.12196141,0.32818973,0.26131976,0.28852913
0.12454404,0.32956654,0.25615662,0.2897328
0.124397434,0.32703438,0.25435635,0.29421192
0.12198801,0.3264166,0.25442857,0.29716682
0.12155677,0.32798877,0.25550997,0.2949444
0.12073891,0.32674026,0.25053796,0.30198288
0.11843973,0.32732594,0.25321773,0.3010166
0.122191355,0.32139978,0.2533993,0.30300963
0.121762455,0.32620063,0.25559607,0.29644084
0.12255111,0.3282355,0.25484627,0.29436702
