Setting,AUROC/AUC,AUPRC/AUPR,Accuracy,F1,MCC
Diff_DTA_GCN seed=100,0.9703385598721662,0.9524215122861481,0.9385382059800664,0.9323583180987203,0.8766785607794454
Diff_DTA_GCN seed=1000,0.9769799260960751,0.970717365049204,0.9435215946843853,0.9390681003584229,0.8864365214110546
Diff_DTA_GCN seed=2000,0.9717700322913547,0.9711312530824052,0.9318936877076412,0.927689594356261,0.863744675107047
Diff_DTA_GCN seed=3000,0.9786999123361851,0.9805146601664225,0.9501661129568106,0.9460431654676258,0.8997680781709607
Diff_DTA_GCN seed=4000,0.9749381359787831,0.9572948385786139,0.9385382059800664,0.933572710951526,0.8763909279952067
Diff_DTA_GCN seed=5000,0.9768023791293541,0.9733622321497605,0.9485049833887044,0.9435336976320583,0.8966358331710896
Diff_DTA_GCN seed=6000,0.9759423860092991,0.9766553384555006,0.9485049833887044,0.9451327433628318,0.8968778105762234
Diff_DTA_GCN seed=7000,0.9784835269704939,0.9795756021580108,0.9418604651162791,0.9373881932021467,0.8831298752968143
Diff_DTA_GCN seed=8000,0.9755817437331469,0.9745665775394626,0.9435215946843853,0.9388489208633093,0.88640084391115
Diff_DTA_GCN seed=9000,0.9777733391036098,0.9760850047371576,0.9352159468438538,0.9307282415630549,0.8700158604046763
